GeneID	log2FC	pvalue	padj	Gene
ENSG00000171617	-2.1345	8.56E-31	1.17E-28	ENC1
ENSG00000076826	-2.1580	0.001024025	0.005845258	CAMSAP3
ENSG00000213903	-2.2133	3.88E-05	0.000329584	LTB4R
ENSG00000142627	-2.2271	8.30E-13	2.73E-11	EPHA2
ENSG00000130518	-2.3141	0.011377315	0.044043277	IQCN
ENSG00000125657	-2.3388	2.13E-28	2.52E-26	TNFSF9
ENSG00000105327	-2.3725	5.95E-32	8.81E-30	BBC3
ENSG00000168334	-2.3904	0.012964046	0.049055918	XIRP1
ENSG00000197019	-2.4200	4.12E-50	1.55E-47	SERTAD1
ENSG00000116717	-2.4358	1.20E-78	1.65E-75	GADD45A
ENSG00000080546	-2.4542	1.81E-92	4.49E-89	SESN1
ENSG00000138764	-2.4781	9.06E-10	2.00E-08	CCNG2
ENSG00000103196	-2.4785	1.08E-07	1.68E-06	CRISPLD2
ENSG00000168140	-2.4908	1.39E-06	1.71E-05	VASN
ENSG00000131080	-2.5220	2.79E-37	5.18E-35	EDA2R
ENSG00000145198	-2.6017	0.002505102	0.012631562	VWA5B2
ENSG00000198576	-2.6409	6.51E-07	8.74E-06	ARC
ENSG00000128346	-2.6410	0.001028009	0.005865311	C22orf23
ENSG00000057657	-2.9967	0.005874712	0.025629488	PRDM1
ENSG00000130766	-3.0241	3.66E-82	5.70E-79	SESN2
ENSG00000107796	-3.0541	0.001129367	0.006361894	ACTA2
ENSG00000183508	-3.4094	2.57E-12	7.84E-11	TENT5C
ENSG00000164938	-3.6335	1.52E-33	2.46E-31	TP53INP1
ENSG00000159388	-3.7830	9.12E-41	2.03E-38	BTG2
ENSG00000147724	-3.9119	2.80E-05	0.000247604	FAM135B
ENSG00000247095	-3.9499	1.83E-06	2.18E-05	MIR210HG
ENSG00000124762	-4.0117	0	0	CDKN1A
ENSG00000260912	-4.3065	1.34E-10	3.27E-09	ENSG00000260912
ENSG00000177076	-4.9418	5.50E-13	1.87E-11	ACER2
ENSG00000170379	-5.2551	0.001106995	0.006258547	TCAF2
